"id","external_ids","event_time","ingested_at","first_seen","last_seen","location_geog","city","street_name","road_number","road_type_code","accident_type","accident_subtype","cause_primary","cause_secondary","severity","fatalities_count","serious_injuries","minor_injuries","persons_involved","vehicles_involved","damage_czk","damage_category","weather_condition","road_surface","light_condition","road_condition","vehicle_types","alcohol_involved","drugs_involved","alcohol_level","quality_score","raw","segment_id"
1,"{""police_cr"": ""060225000059""}","2025-01-10 23:00:00+00","2026-03-22 14:59:39.813498+00","2026-03-22 14:59:39.813498+00","2026-03-23 15:41:47.861573+00","0101000020E610000098770F1C7B873040B432D8F63A9D4840","Brno","Heyrovského","","street","srážka - s vozidlem zaparkovaným, odstaveným","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,20000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""19"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""parkoviště přiléhající ke komunikaci"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",10351
2,"{""police_cr"": ""060225001235""}","2025-08-14 22:00:00+00","2026-03-22 14:59:39.852462+00","2026-03-22 14:59:39.852462+00","2026-03-23 15:41:48.21611+00","0101000020E610000005DA14C835A0304086C7316B9E9B4840","Brno","Hansmannova","","street","srážka - s vozidlem zaparkovaným, odstaveným","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","jiný druh nesprávného způsobu jízdy","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,20000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""12"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""parkoviště přiléhající ke komunikaci"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",19941
3,"{""police_cr"": ""060225000038""}","2025-01-09 23:00:00+00","2026-03-22 14:59:39.877234+00","2026-03-22 14:59:39.877234+00","2026-03-23 15:41:48.240521+00","0101000020E61000003A810723B6A830409A3CB41FA89A4840","Brno",NULL,"","street","srážka - s vozidlem zaparkovaným, odstaveným","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,30000,NULL,"neztížené","povrch suchý - neznečištěný","v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""13"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""žádná z uvedených"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""parkoviště přiléhající ke komunikaci"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",18713
4,"{""police_cr"": ""060225000037""}","2025-01-13 15:40:00+00","2026-03-22 14:59:39.89884+00","2026-03-22 14:59:39.89884+00","2026-03-23 15:41:48.262551+00","0101000020E610000032003E010EAF304009B9411FDD904840","Brno","Brněnská","380","secondary","srážka - s jedoucím nekolejovým vozidlem","zezadu","nedodržení bezpečné vzdálenosti za vozidlem","řidičem - motorového vozidla","minor",0,0,1,NULL,3,150000,NULL,"jiné ztížené","povrch suchý - neznečištěný","ve dne - zhoršená viditelnost (svítání, soumrak)","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""mimo obec"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""16"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",24898
5,"{""police_cr"": ""060225000036""}","2025-01-13 10:30:00+00","2026-03-22 14:59:39.923798+00","2026-03-22 14:59:39.923798+00","2026-03-23 15:41:48.284492+00","0101000020E6100000D2E1ED133B9A3040EE3931EB98984840","Brno","Pekařská","","street","srážka - s jedoucím nekolejovým vozidlem","z boku","jiný druh nesprávného způsobu jízdy","řidičem - motorového vozidla","serious",0,1,0,NULL,2,45000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,True,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""10"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""žádná z uvedených"", ""road_position"": ""na kolejích tramvaje"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",16111
6,"{""police_cr"": ""060225000035""}","2025-01-12 19:10:00+00","2026-03-22 14:59:39.942994+00","2026-03-22 14:59:39.942994+00","2026-03-23 15:41:48.317265+00","0101000020E61000007E6A01B275903040496923CD4A964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","z boku","při odbočování vlevo - souběžně jedoucímu vozidlu","řidičem - motorového vozidla","minor",0,0,2,NULL,2,110000,NULL,"neztížené","povrch suchý - neznečištěný","v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""křižovatka průsečná - čtyřramenná"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na kžižovatce - jedná-li se o křížení místních komunikací, účelových komunikací nebo jde o mezilehlou křižovatku (na sledovaném úseku ve sledovaných městech)"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""světelným signalizačním zařízením"", ""intersecting_road"": ""6"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",8163
7,"{""police_cr"": ""060225000033""}","2025-01-09 23:00:00+00","2026-03-22 14:59:39.964559+00","2026-03-22 14:59:39.964559+00","2026-03-23 15:41:48.351028+00","0101000020E6100000FA61A3ABAB9F3040EA0BE930C1964840","Brno","Schwaigrova","","street","srážka - s vozidlem zaparkovaným, odstaveným","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,10000,NULL,"neztížené","povrch suchý - neznečištěný","v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""16"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""parkoviště přiléhající ke komunikaci"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",6923
8,"{""police_cr"": ""060225000034""}","2025-01-11 12:40:00+00","2026-03-22 14:59:39.983352+00","2026-03-22 14:59:39.983352+00","2026-03-23 15:41:48.37266+00","0101000020E610000050A994E9759B3040DB24F3D6DE994840","Brno","Lidická","","street","srážka - s jedoucím nekolejovým vozidlem","zezadu","nedodržení bezpečné vzdálenosti za vozidlem","řidičem - motorového vozidla","minor",0,0,1,NULL,3,100000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""11"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",16336
9,"{""police_cr"": ""060225000032""}","2025-01-10 23:00:00+00","2026-03-22 14:59:39.991763+00","2026-03-22 14:59:39.991763+00","2026-03-23 15:41:48.395217+00","0101000020E6100000EC14DB6ACAA03040E0E4908FC7934840","Brno","Skandinávská","","parking_rest","srážka - s vozidlem zaparkovaným, odstaveným","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,10000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""16"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""žádná z uvedených"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",24280
10,"{""police_cr"": ""060225000031""}","2025-01-11 06:15:00+00","2026-03-22 14:59:40.000808+00","2026-03-22 14:59:40.000808+00","2026-03-23 15:41:48.428238+00","0101000020E6100000EFC8F42113863040ED9F531FC89C4840","Brno",NULL,"","street","srážka - s pevnou překážkou","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","property_damage",0,0,0,NULL,1,50000,NULL,"neztížené","povrch mokrý","ve dne - zhoršená viditelnost (svítání, soumrak)","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""19"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""jiná překážka - (zábradlí, oplocení, násep, nástupní ostrůvek apod.)"", ""road_division"": ""žádná z uvedených"", ""road_position"": ""na chodníku nebo ostrůvku"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",10255
