osm_id,name,road_ref,road_class,max_speed,city,geog
22732014,Vídeňská,52,trunk,80,Brno,010200000002000000020CCB9F6F9930402F1FA402829448402326F26E7699304063BE17BA6D944840
94175003,Cejl,,tertiary,50,Brno,01020000000200000082548A1D8D9F3040ECD8AD0A799948404241295AB99F30409CFBABC77D994840
94175003,Cejl,,tertiary,50,Brno,01020000000200000082548A1D8D9F3040ECD8AD0A79994840FAA93B60689F30402FC03E3A75994840
"[54754873, 332341726]",Radlas,,residential,30,Brno,01020000000500000082548A1D8D9F3040ECD8AD0A7999484023049ABE8D9F304099501C9B7899484003835AC2909F3040AB6521F07699484035817DCFA39F3040522B4CDF6B994840CE0BC1BBA69F3040FF04172B6A994840
32071493,Pusty,,residential,,Brno,010200000002000000C724C8ADEE853040850DAA6807974840F7EC1406C085304098F15B19F9964840
4052941,Za vodojemem,,residential,,Brno,010200000007000000C724C8ADEE853040850DAA680797484061527C7C42863040CA2544AFF5964840C1632E5F4D863040A7CB6262F39648400E1E5CF058863040A47CF77DEE964840B76345685F863040C95E4AB8EB96484005662A696A8630409CEC551AE796484002DEB87B6F86304045436BEAE1964840
"[409009609, 4052436, 4052941]","['Za vodojemem', 'Jámy']",,residential,,Brno,010200000010000000C724C8ADEE853040850DAA6807974840D7DB662AC4853040BB8E82F11D974840EB8612D2BF8530402A7A3B1D239748408C22B59ABF853040432D173B2B97484061DF4E22C2853040ED16DC6A3197484077572C34C6853040D3AEF83C359748409813B4C9E185304056968D7340974840B38D89DEF3853040CAAE0F4647974840A37F38FEFA853040F3F972B048974840C1C93670078630405DD83FF4499748408EA6C4BF19863040693E42284A974840BB078D052A86304045685FD449974840956AFA473A863040649BAFED48974840F8E4BC5A498630408272DBBE479748406CBE00B15B8630402A615C6045974840D097DEFE5C8630409545611745974840
118423872,Jemelkova,15272,tertiary,50,Brno,0102000000020000008EEBDFF5998D3040130D52F014964840C63B1B4D898D3040DD103EEF21964840
48852860,Jemelkova,15272,tertiary,50,Brno,0102000000040000008EEBDFF5998D3040130D52F0149648404397CBA1A08D30400AA58A3D0F964840FBD3A12EAD8D30409EB70C9304964840040E57BDB28D30405A79138DFF954840
1334165720,,,secondary_link,50,Brno,0102000000040000008EEBDFF5998D3040130D52F01496484003835AC2908D3040E268D839179648409E584C11858D30405EF415A4199648403F332D56798D30404508347D1B964840
43386057,Jihlavská,602,secondary,50,Brno,010200000002000000CB34F515FF8C3040368D92FC2D9648408C6C42B51C8D304089CD6CFC2E964840
5366666,,,secondary_link,50,Brno,010200000005000000CB34F515FF8C3040368D92FC2D964840A9876874078D3040361D01DC2C9648407DC800F50B8D304019F0E8352C9648407BBC900E0F8D3040A83A3F202B964840C7951F5D118D3040975FBCD529964840
35278685,Jihlavská,602,secondary,50,Brno,010200000006000000CB34F515FF8C3040368D92FC2D964840F213BD42D58C3040E3F093B42C96484011830A58BC8C30403737A6272C9648404A3261EA9D8C30403132B7312C964840097C8F44798C30406645798B2C964840BF3EDFBB728C3040BF76D5A82C964840
4064302,Černopolní,,residential,30,Brno,01020000000200000013E2804C219E3040CCF742B74D9A4840D4371F8DF99D3040928433AE6E9A4840
