"table_name","constraint_name","constraint_type","column_name"
"spatial_ref_sys","spatial_ref_sys_pkey","PRIMARY KEY","srid"
"flyway_schema_history_police_accidents","flyway_schema_history_police_accidents_pk","PRIMARY KEY","installed_rank"
"police_ingest_checkpoint","police_ingest_checkpoint_pkey","PRIMARY KEY","region_code"
"police_ingest_checkpoint","police_ingest_checkpoint_pkey","PRIMARY KEY","data_year"
"flyway_schema_history","flyway_schema_history_pk","PRIMARY KEY","installed_rank"
"providers","providers_pkey","PRIMARY KEY","id"
"providers","providers_provider_key_key","UNIQUE","provider_key"
"road_types","road_types_pkey","PRIMARY KEY","id"
"road_types","road_types_code_key","UNIQUE","code"
"accidents","accidents_pkey","PRIMARY KEY","id"
"traffic_jams","traffic_jams_pkey","PRIMARY KEY","id"
"alerts","alerts_pkey","PRIMARY KEY","id"
"restrictions","restrictions_pkey","PRIMARY KEY","id"
"event_links","event_links_pkey","PRIMARY KEY","id"
"event_links","event_links_source_type_source_id_target_type_target_id_lin_key","UNIQUE","source_type"
"event_links","event_links_source_type_source_id_target_type_target_id_lin_key","UNIQUE","source_id"
"event_links","event_links_source_type_source_id_target_type_target_id_lin_key","UNIQUE","target_type"
"event_links","event_links_source_type_source_id_target_type_target_id_lin_key","UNIQUE","target_id"
"event_links","event_links_source_type_source_id_target_type_target_id_lin_key","UNIQUE","link_type"
"road_segments","road_segments_pkey","PRIMARY KEY","id"
"accidents","accidents_segment_id_fkey","FOREIGN KEY","segment_id"
"traffic_jams","traffic_jams_segment_id_fkey","FOREIGN KEY","segment_id"
"alerts","alerts_segment_id_fkey","FOREIGN KEY","segment_id"
"restrictions","restrictions_segment_id_fkey","FOREIGN KEY","segment_id"
"flyway_seed_history","flyway_seed_history_pk","PRIMARY KEY","installed_rank"
