"id","external_ids","event_time","ingested_at","first_seen","last_seen","location_geog","city","street_name","road_number","road_type_code","accident_type","accident_subtype","cause_primary","cause_secondary","severity","fatalities_count","serious_injuries","minor_injuries","persons_involved","vehicles_involved","damage_czk","damage_category","weather_condition","road_surface","light_condition","road_condition","vehicle_types","alcohol_involved","drugs_involved","alcohol_level","quality_score","raw","segment_id"
6,"{""police_cr"": ""060225000035""}","2025-01-12 19:10:00+00","2026-04-08 23:55:02.738843+00","2026-04-08 23:55:02.738843+00","2026-04-08 23:55:02.738843+00","0101000020E61000007E6A01B275903040496923CD4A964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","z boku","při odbočování vlevo - souběžně jedoucímu vozidlu","řidičem - motorového vozidla","minor",0,0,2,NULL,2,110000,NULL,"neztížené","povrch suchý - neznečištěný","v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""křižovatka průsečná - čtyřramenná"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na kžižovatce - jedná-li se o křížení místních komunikací, účelových komunikací nebo jde o mezilehlou křižovatku (na sledovaném úseku ve sledovaných městech)"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""světelným signalizačním zařízením"", ""intersecting_road"": ""6"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",8206
45,"{""police_cr"": ""060225000047""}","2025-01-14 20:25:00+00","2026-04-08 23:55:05.131067+00","2026-04-08 23:55:05.131067+00","2026-04-08 23:55:05.131067+00","0101000020E6100000D1FAE3FCD68E304012024BFB3E964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","z boku","při odbočování vlevo","řidičem - motorového vozidla","minor",0,0,1,NULL,2,270000,NULL,"neztížené","povrch suchý - neznečištěný","v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""křižovatka průsečná - čtyřramenná"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na kžižovatce - jedná-li se o křížení místních komunikací, účelových komunikací nebo jde o mezilehlou křižovatku (na sledovaném úseku ve sledovaných městech)"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""vícepruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""světelným signalizačním zařízením"", ""intersecting_road"": ""6"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",8734
75,"{""police_cr"": ""060325000030""}","2025-01-15 13:50:00+00","2026-04-08 23:55:06.451622+00","2026-04-08 23:55:06.451622+00","2026-04-08 23:55:06.451622+00","0101000020E6100000B5DC725B8A84304090AD2E4162964840","Brno","Jihlavská","602","secondary","srážka - s pevnou překážkou","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","minor",0,0,1,NULL,1,21000,NULL,"neztížené","povrch mokrý","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","jiný (neuvedený) stav nebo závada komunikace",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""mimo obec"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""15"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""03"", ""obstacle_type"": ""odrazník, patník, - sloupek směrový, sloupek dopravní značky apod."", ""road_division"": ""dvoupruhová"", ""road_position"": ""na krajnici"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",9262
251,"{""police_cr"": ""060225000192""}","2025-02-21 17:06:00+00","2026-04-08 23:55:13.071947+00","2026-04-08 23:55:13.071947+00","2026-04-08 23:55:13.071947+00","0101000020E61000007466A572C69830406C4D319315964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","zezadu","nedodržení bezpečné vzdálenosti za vozidlem","řidičem - motorového vozidla","property_damage",0,0,0,NULL,3,20000,NULL,"neztížené","povrch suchý - neznečištěný","v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""třípruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""v blízkosti přechodu pro chodce (do vzdálenosti 20 m)"", ""traffic_control"": ""světelným signalizačním zařízením"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",6516
656,"{""police_cr"": ""060325000584""}","2025-07-23 15:34:00+00","2026-04-08 23:55:22.109093+00","2026-04-08 23:55:22.109093+00","2026-04-08 23:55:22.109093+00","0101000020E61000009D0FC00DEE8D3040A0BA92C835964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","z boku","proti příkazu dopravní značky - DEJ PŘEDNOST","řidičem - motorového vozidla","minor",0,0,1,NULL,2,150000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""přednost vyznačena dopravními značkami"", ""direction"": ""křižovatka styková - tříramenná"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na kžižovatce - jedná-li se o křížení místních komunikací, účelových komunikací nebo jde o mezilehlou křižovatku (na sledovaném úseku ve sledovaných městech)"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""třípruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""čerpadlo pohonných hmot"", ""traffic_control"": ""místní úprava"", ""intersecting_road"": ""6"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",8571
700,"{""police_cr"": ""060325000326""}","2025-05-05 08:22:00+00","2026-04-08 23:55:23.090189+00","2026-04-08 23:55:23.090189+00","2026-04-08 23:55:23.090189+00","0101000020E61000007E067A502E7F304032B652F4E4964840","Troubsko","Jihlavská","602","secondary","srážka - s jedoucím nekolejovým vozidlem","zezadu","nedodržení bezpečné vzdálenosti za vozidlem","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,100000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""mimo obec"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""15"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""03"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",3449
785,"{""police_cr"": ""060225000610""}","2025-05-16 13:10:00+00","2026-04-08 23:55:24.952201+00","2026-04-08 23:55:24.952201+00","2026-04-08 23:55:24.952201+00","0101000020E6100000E49BC5D7179230404EE5FD0E44964840","Brno","Jihlavská","","street","srážka - s vozidlem zaparkovaným, odstaveným","nepřichází v úvahu - nejedná se o srážku jedoucích vozidel","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","minor",0,0,1,NULL,3,180000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",8131
1003,"{""police_cr"": ""060225000763""}","2025-06-19 05:50:00+00","2026-04-08 23:55:30.534599+00","2026-04-08 23:55:30.534599+00","2026-04-08 23:55:30.534599+00","0101000020E610000095ACE6D3938F3040BEA562D344964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","boční","při přejíždění z jednoho jízdního pruhu do druhého","řidičem - motorového vozidla","minor",0,0,1,NULL,2,30000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""čtyřpruhová s dělící čarou"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",8715
1028,"{""police_cr"": ""060225000774""}","2025-06-21 00:33:00+00","2026-04-08 23:55:30.987373+00","2026-04-08 23:55:30.987373+00","2026-04-08 23:55:30.987373+00","0101000020E610000091CD66982D95304008249AE12C964840","Brno","Jihlavská","","street","srážka - s jedoucím nekolejovým vozidlem","zezadu","řidič se plně nevěnoval řízení vozidla","řidičem - motorového vozidla","property_damage",0,0,0,NULL,2,90000,NULL,"neztížené","povrch suchý - neznečištěný","v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,True,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""žádná místní úprava"", ""direction"": ""přímý úsek"", ""unit_code"": ""18"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""mimo křižovatku"", ""district_code"": ""02"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""žádné nebo žádné z uvedených"", ""traffic_control"": ""žádný způsob řízení provozu"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - pouze s hmotnou škodou""}",7959
1483,"{""police_cr"": ""060325000721""}","2025-09-04 15:45:00+00","2026-04-08 23:55:43.543976+00","2026-04-08 23:55:43.543976+00","2026-04-08 23:55:43.543976+00","0101000020E6100000F945CFC2288130404B3E1E829E964840","Troubsko","Jihlavská","602","secondary","srážka - s jedoucím nekolejovým vozidlem","zezadu","nedodržení bezpečné vzdálenosti za vozidlem","řidičem - motorového vozidla","minor",0,0,1,NULL,2,50000,NULL,"neztížené","povrch suchý - neznečištěný","ve dne - viditelnost nezhoršená vlivem povětrnostních podmínek","dobrý, bez závad",NULL,False,False,NULL,100,"{""year"": ""2025"", ""source"": ""police-cr"", ""locality"": ""v obci"", ""priority"": ""přednost vyznačena dopravními značkami"", ""direction"": ""kruhový objezd"", ""unit_code"": ""15"", ""visibility"": ""dobré"", ""animal_type"": ""nejde o srážku se zvěří/zvířetem"", ""region_code"": ""06"", ""intersection"": ""na křižovatce - uvnitř hranic křižovatky definovaných pro systém evidence nehod (zóna 9)"", ""district_code"": ""03"", ""obstacle_type"": ""nepříchází v úvahu - nejedná se o srážku s pevnou překážkou"", ""road_division"": ""dvoupruhová"", ""road_position"": ""na jízdním pruhu"", ""specific_place"": ""v blízkosti přechodu pro chodce (do vzdálenosti 20 m)"", ""traffic_control"": ""místní úprava"", ""intersecting_road"": ""3"", ""road_surface_type"": ""živice"", ""accident_character"": ""nehoda - s následky na životě""}",9233
