"id","source_type","source_id","target_type","target_id","link_type","confidence","description","created_at"
10,"alert",8,"traffic_jam",283,"caused_by",64,"HAZARD_ON_ROAD_POT_HOLE matched jam via spatial","2026-04-14 14:16:37.067286+00"
11,"alert",8,"traffic_jam",26,"caused_by",60,"HAZARD_ON_ROAD_POT_HOLE matched jam via spatial","2026-04-14 14:16:37.070088+00"
77,"restriction",6,"traffic_jam",28,"caused_by",65,"road_closed matched jam(moderate) via spatial","2026-04-14 14:16:37.578449+00"
78,"restriction",6,"traffic_jam",61,"caused_by",65,"road_closed matched jam(moderate) via spatial","2026-04-14 14:16:37.581159+00"
79,"restriction",6,"traffic_jam",213,"caused_by",70,"road_closed matched jam(heavy) via spatial","2026-04-14 14:16:37.58402+00"
82,"restriction",8,"traffic_jam",44,"caused_by",70,"road_closed matched jam(heavy) via spatial","2026-04-14 14:16:37.596318+00"
83,"restriction",8,"traffic_jam",5,"caused_by",70,"road_closed matched jam(heavy) via spatial","2026-04-14 14:16:37.59999+00"
84,"restriction",8,"traffic_jam",89,"caused_by",70,"road_closed matched jam(heavy) via spatial","2026-04-14 14:16:37.603377+00"
85,"restriction",8,"traffic_jam",181,"caused_by",70,"road_closed matched jam(heavy) via spatial","2026-04-14 14:16:37.606533+00"
86,"restriction",8,"traffic_jam",115,"caused_by",75,"road_closed matched jam(standstill) via spatial","2026-04-14 14:16:37.609685+00"
87,"restriction",8,"traffic_jam",133,"caused_by",75,"road_closed matched jam(standstill) via spatial","2026-04-14 14:16:37.612604+00"
253,"restriction",76,"traffic_jam",72,"caused_by",85,"road_closed matched jam(heavy) via street","2026-04-14 14:16:38.097212+00"
333,"alert",74,"traffic_jam",4051,"caused_by",64,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-14 15:34:37.00149+00"
334,"alert",74,"traffic_jam",4781,"caused_by",67,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-14 15:34:37.006296+00"
335,"alert",74,"traffic_jam",4804,"caused_by",52,"HAZARD_ON_ROAD_POT_HOLE matched jam via spatial","2026-04-14 15:34:37.007631+00"
336,"alert",74,"traffic_jam",6545,"caused_by",78,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-14 15:34:37.009303+00"
337,"alert",74,"traffic_jam",6179,"caused_by",60,"HAZARD_ON_ROAD_POT_HOLE matched jam via spatial","2026-04-14 15:34:37.010945+00"
364,"alert",76,"traffic_jam",6734,"caused_by",77,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via spatial","2026-04-14 15:42:37.002331+00"
365,"alert",76,"traffic_jam",5474,"caused_by",83,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-14 15:42:37.007138+00"
366,"alert",76,"traffic_jam",5824,"caused_by",70,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via spatial","2026-04-14 15:42:37.008823+00"
367,"alert",76,"traffic_jam",3889,"caused_by",76,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-14 15:42:37.010476+00"
368,"alert",76,"traffic_jam",6645,"caused_by",91,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-14 15:42:37.01243+00"
369,"alert",76,"traffic_jam",6979,"caused_by",78,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via spatial","2026-04-14 15:42:37.014153+00"
515,"alert",113,"traffic_jam",9297,"caused_by",59,"HAZARD_ON_ROAD_POT_HOLE matched jam via spatial","2026-04-14 19:28:37.008579+00"
577,"alert",119,"traffic_jam",10211,"caused_by",65,"HAZARD_ON_ROAD_POT_HOLE matched jam via spatial","2026-04-15 03:44:37.009661+00"
645,"alert",168,"traffic_jam",13260,"caused_by",71,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-15 05:54:37.003941+00"
646,"alert",168,"traffic_jam",12308,"caused_by",69,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-15 05:54:37.007121+00"
647,"alert",168,"traffic_jam",14362,"caused_by",67,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-15 05:54:37.008965+00"
648,"alert",168,"traffic_jam",15165,"caused_by",80,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-15 05:54:37.010583+00"
649,"alert",168,"traffic_jam",12606,"caused_by",71,"HAZARD_ON_ROAD_POT_HOLE matched jam via street","2026-04-15 05:54:37.012366+00"
650,"alert",168,"traffic_jam",13473,"caused_by",60,"HAZARD_ON_ROAD_POT_HOLE matched jam via spatial","2026-04-15 05:54:37.013985+00"
1005,"alert",202,"traffic_jam",27287,"caused_by",42,"HAZARD_ON_SHOULDER_CAR_STOPPED matched jam via spatial","2026-04-15 09:10:37.00247+00"
1006,"alert",202,"traffic_jam",28194,"caused_by",54,"HAZARD_ON_SHOULDER_CAR_STOPPED matched jam via spatial","2026-04-15 09:10:37.006501+00"
1007,"alert",202,"traffic_jam",27825,"caused_by",48,"HAZARD_ON_SHOULDER_CAR_STOPPED matched jam via spatial","2026-04-15 09:10:37.008442+00"
1121,"alert",231,"traffic_jam",31262,"caused_by",80,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-15 11:46:37.010511+00"
1122,"alert",231,"traffic_jam",31471,"caused_by",83,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-15 11:46:37.0162+00"
1123,"alert",231,"traffic_jam",31663,"caused_by",86,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-15 11:46:37.018046+00"
1177,"alert",252,"traffic_jam",34950,"caused_by",67,"HAZARD_ON_SHOULDER_CAR_STOPPED matched jam via street","2026-04-15 12:46:37.009121+00"
1263,"alert",256,"traffic_jam",33540,"caused_by",53,"HAZARD_ON_SHOULDER_CAR_STOPPED matched jam via street","2026-04-15 12:58:37.003222+00"
1264,"alert",256,"traffic_jam",35799,"caused_by",67,"HAZARD_ON_SHOULDER_CAR_STOPPED matched jam via street","2026-04-15 12:58:37.007868+00"
1532,"alert",289,"traffic_jam",53225,"caused_by",92,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-15 15:58:38.004761+00"
1533,"alert",289,"traffic_jam",52443,"caused_by",72,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via spatial","2026-04-15 15:58:38.012142+00"
1534,"alert",289,"traffic_jam",53253,"caused_by",91,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via street","2026-04-15 15:58:38.014205+00"
1535,"alert",289,"traffic_jam",50721,"caused_by",64,"HAZARD_ON_ROAD_CONSTRUCTION matched jam via spatial","2026-04-15 15:58:38.015931+00"
1736,"restriction",94476,"alert",50,"related_to",45,"contraflow matched HAZARD_ON_SHOULDER_CAR_STOPPED via spatial","2026-04-15 16:46:38.325142+00"
1737,"restriction",94476,"alert",175,"related_to",45,"contraflow matched HAZARD_ON_SHOULDER_CAR_STOPPED via spatial","2026-04-15 16:46:38.326774+00"
1738,"restriction",94476,"alert",206,"related_to",45,"contraflow matched HAZARD_ON_SHOULDER_CAR_STOPPED via spatial","2026-04-15 16:46:38.328295+00"
1739,"restriction",94476,"alert",168,"related_to",65,"contraflow matched HAZARD_ON_ROAD_POT_HOLE via street","2026-04-15 16:46:38.329968+00"
1757,"restriction",94492,"alert",231,"related_to",65,"laneClosures matched HAZARD_ON_ROAD_CONSTRUCTION via street","2026-04-15 16:46:38.360422+00"
1758,"restriction",94492,"alert",244,"related_to",45,"laneClosures matched HAZARD_ON_ROAD_POT_HOLE via spatial","2026-04-15 16:46:38.362192+00"
1759,"restriction",94492,"alert",119,"related_to",65,"laneClosures matched HAZARD_ON_ROAD_POT_HOLE via street","2026-04-15 16:46:38.363685+00"
1760,"restriction",94492,"alert",113,"related_to",65,"laneClosures matched HAZARD_ON_ROAD_POT_HOLE via street","2026-04-15 16:46:38.365323+00"
1761,"restriction",94492,"alert",198,"related_to",45,"laneClosures matched HAZARD_ON_SHOULDER_CAR_STOPPED via spatial","2026-04-15 16:46:38.366858+00"
1762,"restriction",94492,"alert",202,"related_to",65,"laneClosures matched HAZARD_ON_SHOULDER_CAR_STOPPED via street","2026-04-15 16:46:38.368498+00"
1763,"restriction",94492,"alert",253,"related_to",45,"laneClosures matched HAZARD_ON_ROAD_POT_HOLE via spatial","2026-04-15 16:46:38.370203+00"
1764,"restriction",94492,"alert",289,"related_to",65,"laneClosures matched HAZARD_ON_ROAD_CONSTRUCTION via street","2026-04-15 16:46:38.37181+00"
1765,"restriction",94493,"alert",231,"related_to",85,"roadworks matched HAZARD_ON_ROAD_CONSTRUCTION via street","2026-04-15 16:46:38.373331+00"
1766,"restriction",94493,"alert",244,"related_to",45,"roadworks matched HAZARD_ON_ROAD_POT_HOLE via spatial","2026-04-15 16:46:38.37497+00"
1767,"restriction",94493,"alert",119,"related_to",65,"roadworks matched HAZARD_ON_ROAD_POT_HOLE via street","2026-04-15 16:46:38.376536+00"
1768,"restriction",94493,"alert",113,"related_to",65,"roadworks matched HAZARD_ON_ROAD_POT_HOLE via street","2026-04-15 16:46:38.378197+00"
1769,"restriction",94493,"alert",198,"related_to",45,"roadworks matched HAZARD_ON_SHOULDER_CAR_STOPPED via spatial","2026-04-15 16:46:38.379761+00"
1770,"restriction",94493,"alert",202,"related_to",65,"roadworks matched HAZARD_ON_SHOULDER_CAR_STOPPED via street","2026-04-15 16:46:38.381439+00"
1771,"restriction",94493,"alert",256,"related_to",65,"roadworks matched HAZARD_ON_SHOULDER_CAR_STOPPED via street","2026-04-15 16:46:38.383+00"
1772,"restriction",94493,"alert",289,"related_to",85,"roadworks matched HAZARD_ON_ROAD_CONSTRUCTION via street","2026-04-15 16:46:38.384668+00"
6235,"restriction",94476,"traffic_jam",54412,"caused_by",50,"contraflow matched jam(light) via spatial","2026-04-15 16:54:39.056166+00"
6236,"restriction",94476,"traffic_jam",54170,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.058017+00"
6237,"restriction",94476,"traffic_jam",53225,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.059699+00"
6238,"restriction",94476,"traffic_jam",53253,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.061359+00"
6239,"restriction",94476,"traffic_jam",51600,"caused_by",75,"contraflow matched jam(standstill) via street","2026-04-15 16:54:39.063075+00"
6240,"restriction",94476,"traffic_jam",49928,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.064813+00"
6241,"restriction",94476,"traffic_jam",48984,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.066476+00"
6242,"restriction",94476,"traffic_jam",51791,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.068079+00"
6243,"restriction",94476,"traffic_jam",46666,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.069816+00"
6244,"restriction",94476,"traffic_jam",46621,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.071369+00"
6245,"restriction",94476,"traffic_jam",45420,"caused_by",75,"contraflow matched jam(standstill) via street","2026-04-15 16:54:39.073098+00"
6246,"restriction",94476,"traffic_jam",44931,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.074744+00"
6247,"restriction",94476,"traffic_jam",44091,"caused_by",75,"contraflow matched jam(standstill) via street","2026-04-15 16:54:39.076556+00"
6248,"restriction",94476,"traffic_jam",44013,"caused_by",75,"contraflow matched jam(standstill) via street","2026-04-15 16:54:39.078146+00"
6249,"restriction",94476,"traffic_jam",43663,"caused_by",75,"contraflow matched jam(standstill) via street","2026-04-15 16:54:39.080012+00"
6250,"restriction",94476,"traffic_jam",44438,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.081755+00"
6251,"restriction",94476,"traffic_jam",41983,"caused_by",75,"contraflow matched jam(standstill) via street","2026-04-15 16:54:39.08417+00"
6252,"restriction",94476,"traffic_jam",40803,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.086443+00"
6253,"restriction",94476,"traffic_jam",40397,"caused_by",55,"contraflow matched jam(heavy) via spatial","2026-04-15 16:54:39.088914+00"
6254,"restriction",94476,"traffic_jam",39952,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.091348+00"
6255,"restriction",94476,"traffic_jam",39681,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.094122+00"
6256,"restriction",94476,"traffic_jam",39445,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.096336+00"
6257,"restriction",94476,"traffic_jam",47522,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.098064+00"
6258,"restriction",94476,"traffic_jam",38563,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.099927+00"
6259,"restriction",94476,"traffic_jam",37349,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.101652+00"
6260,"restriction",94476,"traffic_jam",36986,"caused_by",65,"contraflow matched jam(moderate) via street","2026-04-15 16:54:39.103277+00"
6261,"restriction",94476,"traffic_jam",35799,"caused_by",70,"contraflow matched jam(heavy) via street","2026-04-15 16:54:39.105083+00"
6262,"restriction",94476,"traffic_jam",35031,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.106687+00"
6263,"restriction",94476,"traffic_jam",35285,"caused_by",50,"contraflow matched jam(light) via spatial","2026-04-15 16:54:39.108491+00"
6264,"restriction",94476,"traffic_jam",33855,"caused_by",50,"contraflow matched jam(moderate) via spatial","2026-04-15 16:54:39.110152+00"
