"table_name","column_name","data_type","is_nullable","character_maximum_length"
"accidents","id","bigint","NO",NULL
"accidents","external_ids","jsonb","NO",NULL
"accidents","event_time","timestamp with time zone","YES",NULL
"accidents","ingested_at","timestamp with time zone","NO",NULL
"accidents","first_seen","timestamp with time zone","YES",NULL
"accidents","last_seen","timestamp with time zone","YES",NULL
"accidents","location_geog","USER-DEFINED","YES",NULL
"accidents","city","text","YES",NULL
"accidents","street_name","text","YES",NULL
"accidents","road_number","text","YES",NULL
"accidents","road_type_code","text","YES",NULL
"accidents","accident_type","text","YES",NULL
"accidents","accident_subtype","text","YES",NULL
"accidents","cause_primary","text","YES",NULL
"accidents","cause_secondary","text","YES",NULL
"accidents","severity","text","YES",NULL
"accidents","fatalities_count","integer","YES",NULL
"accidents","serious_injuries","integer","YES",NULL
"accidents","minor_injuries","integer","YES",NULL
"accidents","persons_involved","integer","YES",NULL
"accidents","vehicles_involved","integer","YES",NULL
"accidents","damage_czk","integer","YES",NULL
"accidents","damage_category","text","YES",NULL
"accidents","weather_condition","text","YES",NULL
"accidents","road_surface","text","YES",NULL
"accidents","light_condition","text","YES",NULL
"accidents","road_condition","text","YES",NULL
"accidents","vehicle_types","ARRAY","YES",NULL
"accidents","alcohol_involved","boolean","YES",NULL
"accidents","drugs_involved","boolean","YES",NULL
"accidents","alcohol_level","double precision","YES",NULL
"accidents","quality_score","integer","YES",NULL
"accidents","raw","jsonb","NO",NULL
"accidents","segment_id","bigint","YES",NULL
"alerts","id","bigint","NO",NULL
"alerts","external_ids","jsonb","NO",NULL
"alerts","ingested_at","timestamp with time zone","NO",NULL
"alerts","first_seen","timestamp with time zone","YES",NULL
"alerts","last_seen","timestamp with time zone","YES",NULL
"alerts","location_geog","USER-DEFINED","YES",NULL
"alerts","city","text","YES",NULL
"alerts","street_name","text","YES",NULL
"alerts","road_number","text","YES",NULL
"alerts","road_type_code","text","YES",NULL
"alerts","alert_type","text","YES",NULL
"alerts","alert_subtype","text","YES",NULL
"alerts","severity","text","YES",NULL
"alerts","description","text","YES",NULL
"alerts","quality_score","integer","YES",NULL
"alerts","active","boolean","YES",NULL
"alerts","raw","jsonb","NO",NULL
"alerts","segment_id","bigint","YES",NULL
"event_links","id","bigint","NO",NULL
"event_links","source_type","text","NO",NULL
"event_links","source_id","bigint","NO",NULL
"event_links","target_type","text","NO",NULL
"event_links","target_id","bigint","NO",NULL
"event_links","link_type","text","NO",NULL
"event_links","confidence","integer","YES",NULL
"event_links","description","text","YES",NULL
"event_links","created_at","timestamp with time zone","YES",NULL
"flyway_schema_history","installed_rank","integer","NO",NULL
"flyway_schema_history","version","character varying","YES",50
"flyway_schema_history","description","character varying","NO",200
